Frame,x1,y1,x2,y2,Confidence
627,533,320,1916,1010,0.2820626199245453
628,23,82,538,972,0.26863354444503784
628,514,322,1915,1014,0.2673569619655609
633,31,63,1590,852,0.2722267508506775
634,28,62,1594,852,0.268545001745224
669,270,69,1889,758,0.28834420442581177
669,111,65,1565,698,0.28188782930374146
670,105,65,1509,689,0.28667402267456055
670,295,70,1888,736,0.2651634216308594
671,80,65,1513,688,0.27297571301460266
672,70,65,1524,692,0.27132394909858704
673,65,64,1505,693,0.27090245485305786
675,1585,79,1919,1021,0.2997237741947174
676,1585,79,1919,1021,0.2810088098049164
677,1582,79,1919,1021,0.28392940759658813
679,1579,79,1919,1021,0.2500058114528656
681,1586,79,1919,1022,0.25301721692085266
692,105,59,1894,980,0.5671130418777466
693,136,60,1895,927,0.5719743967056274
694,9,57,1896,1056,0.7409726977348328
694,370,67,1898,848,0.4545249938964844
695,11,59,1895,1048,0.8494575023651123
695,426,69,1897,763,0.38846471905708313
696,0,58,1895,1053,0.8112203478813171
697,0,82,1895,1057,0.9095386862754822
698,0,95,1894,1065,0.8583853840827942
699,0,76,1897,1047,0.7840078473091125
700,0,76,1897,1047,0.7771334052085876
701,0,76,1897,1047,0.7771334052085876
702,0,76,1897,1047,0.7769675850868225
703,0,76,1897,1047,0.7769675850868225
704,0,85,1897,1021,0.8793256282806396
705,0,84,1897,1021,0.8780912756919861
706,0,84,1897,1021,0.8829568028450012
707,0,85,1897,1018,0.8793600797653198
708,0,84,1896,1016,0.8801884651184082
709,0,83,1894,1012,0.8803848624229431
710,0,82,1893,983,0.9042956233024597
711,0,82,1892,983,0.9181333780288696
712,0,81,1890,981,0.932668924331665
713,0,80,1889,979,0.9403234124183655
714,0,65,1891,974,0.9370194673538208
715,0,67,1891,972,0.9369308352470398
716,0,66,1893,973,0.9328716993331909
717,9,81,890,1018,0.9829978942871094
717,1040,83,1916,1009,0.9813550114631653
718,32,63,1896,981,0.9103672504425049
719,31,62,1896,980,0.8965381383895874
720,34,62,1898,978,0.8630542755126953
721,43,61,1899,981,0.845984160900116
722,6,60,1902,999,0.7755668759346008
722,1463,78,1920,982,0.27975842356681824
723,4,59,1897,1015,0.54471755027771
723,1287,79,1920,966,0.28351029753685
724,1266,79,1920,980,0.30085939168930054
724,5,59,1896,1029,0.2911146283149719
725,3,58,1903,1040,0.420950710773468
725,1340,70,1920,1030,0.3984143137931824
726,1509,87,1920,1037,0.4462437033653259
726,1303,76,1918,1031,0.42554813623428345
727,1351,79,1920,1032,0.3362213373184204
727,30,373,1899,1055,0.25205931067466736
728,1524,85,1920,1039,0.287548691034317
729,1505,76,1920,1045,0.4290405511856079
730,1291,73,1920,1041,0.40786176919937134
730,1503,82,1920,1053,0.33719131350517273
732,1276,78,1918,739,0.2642575800418854
734,47,332,1909,1068,0.2899968922138214
735,0,336,1773,1056,0.3091270625591278
736,3,342,1606,1056,0.28923776745796204
737,0,345,1731,1062,0.3866260349750519
738,3,355,1766,1057,0.347782701253891
738,1303,80,1920,934,0.3153231143951416
739,1255,77,1919,1008,0.6711010336875916
740,1202,74,1919,1002,0.8768053650856018
740,18,287,1677,1049,0.4275023341178894
741,16,78,851,1038,0.8332008719444275
741,1311,68,1920,1021,0.7537789344787598
742,1260,70,1920,995,0.627496600151062
742,16,97,854,1031,0.5413971543312073
743,1313,71,1920,1017,0.7545130252838135
743,21,136,1361,1038,0.36669427156448364
743,20,106,844,1025,0.361322820186615
744,1497,67,1920,977,0.4511420726776123
745,1287,63,1920,941,0.32161659002304077
746,1551,68,1920,1018,0.46453478932380676
746,22,66,868,847,0.36324334144592285
748,1269,61,1920,992,0.26077452301979065
749,1224,55,1919,1004,0.31836220622062683
752,19,64,773,1070,0.3032848536968231
753,1249,54,1917,1001,0.2779315114021301
754,1266,51,1920,1040,0.7647905945777893
754,7,60,730,1051,0.25283920764923096
755,1265,51,1920,988,0.8353036046028137
755,5,57,694,1044,0.5577535629272461
756,1707,35,1920,1039,0.522383987903595
758,5,158,679,1002,0.810884416103363
758,1338,44,1920,1031,0.4781719148159027
759,1386,37,1920,1024,0.8313042521476746
759,6,156,673,1035,0.7857775688171387
760,1,144,641,1061,0.8338279724121094
760,1455,43,1920,1035,0.8293536901473999
761,3,97,556,1060,0.8562728762626648
761,1451,38,1920,1028,0.7600892782211304
762,1450,36,1920,1036,0.7604249715805054
762,0,54,449,1030,0.37170106172561646
763,1431,27,1920,1038,0.7741708755493164
763,0,124,609,1050,0.3179837465286255
764,1569,42,1919,1024,0.648368239402771
765,1639,39,1920,1052,0.742119550704956
765,201,153,1039,1050,0.2998840808868408
766,1579,41,1920,1058,0.6094191670417786
766,143,154,1025,1046,0.5396791100502014
766,1682,54,1919,1075,0.272885262966156
767,1588,45,1920,1050,0.687276303768158
767,292,152,1015,1036,0.4002458453178406
768,1671,29,1920,1031,0.7350473403930664
768,291,149,821,1053,0.67452073097229
768,1322,32,1602,1027,0.4310559928417206
768,0,52,211,1062,0.26033416390419006
769,1723,43,1919,1049,0.6224786043167114
769,1383,28,1669,1031,0.5231887698173523
770,1424,26,1920,1028,0.7756671905517578
770,0,92,500,1035,0.613120973110199
770,1410,20,1774,1024,0.29227009415626526
771,1502,26,1916,1057,0.896415114402771
772,1591,26,1919,1062,0.8899925351142883
772,1,62,583,1044,0.30643218755722046
773,1673,20,1919,1043,0.87799072265625
773,208,155,600,1038,0.6195893883705139
773,2,151,594,1035,0.5979629158973694
773,1286,31,1556,1018,0.3320653736591339
773,1178,47,1552,1037,0.29670384526252747
773,620,150,1119,1042,0.2636190354824066
773,397,152,1095,1045,0.2532401978969574
774,3,119,571,1049,0.9438163042068481
774,1553,33,1920,1045,0.369778573513031
774,1767,24,1920,1035,0.3599214255809784
774,1425,23,1803,1034,0.3565789461135864
774,648,153,1183,1049,0.3485216498374939
775,1,125,582,1054,0.9690191745758057
775,1592,24,1919,1051,0.8978573083877563
776,2,123,608,1056,0.9704864025115967
776,1547,21,1762,1021,0.4908190369606018
777,2,141,572,1049,0.9740731716156006
777,1695,18,1919,1021,0.8254241347312927
778,2,137,542,1047,0.9487171173095703
